0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
impassive,transgression,,,,,,,,,,,,,,,,
idolatry,morose,,,,,,,,,,,,,,,,
hyperbole,tortuous,,,,,,,,,,,,,,,,
inured,mundane,,,,,,,,,,,,,,,,
irresolute,repudiate,,,,,,,,,,,,,,,,
itinerary,neophyte,,,,,,,,,,,,,,,,
gouge,precipitate,,,,,,,,,,,,,,,,
lassitude,presumptuous,,,,,,,,,,,,,,,,
laud,prevaricate,,,,,,,,,,,,,,,,
levee,probity,,,,,,,,,,,,,,,,
levity,prodigal,,,,,,,,,,,,,,,,
log,profound,,,,,,,,,,,,,,,,
flag,sanction,,,,,,,,,,,,,,,,
lucid,reverent,,,,,,,,,,,,,,,,
luminous,propitiate,,,,,,,,,,,,,,,,
fatuous,propriety,,,,,,,,,,,,,,,,
malleable,proscribe,,,,,,,,,,,,,,,,
exigency,pungent,,,,,,,,,,,,,,,,
misanthrope,quibble,,,,,,,,,,,,,,,,
euphemism,reticent,,,,,,,,,,,,,,,,
elicit,resolve,,,,,,,,,,,,,,,,
reproach,resolution,,,,,,,,,,,,,,,,
discordant,recalcitrant,,,,,,,,,,,,,,,,
indeterminate,recant,,,,,,,,,,,,,,,,
anachronism,recluse,,,,,,,,,,,,,,,,
burgeon,rescind,,,,,,,,,,,,,,,,
savor,refute,,,,,,,,,,,,,,,,
tractable,preamble,,,,,,,,,,,,,,,,
belie,negate,,,,,,,,,,,,,,,,
cacophonous,indigence,,,,,,,,,,,,,,,,
aver,placate,,,,,,,,,,,,,,,,
capricious,obdurate,,,,,,,,,,,,,,,,
unwarranted,obsequious,,,,,,,,,,,,,,,,
autonomous,obviate,,,,,,,,,,,,,,,,
spectrum,occlude,,,,,,,,,,,,,,,,
sporadic,officious,,,,,,,,,,,,,,,,
aggregate,reprobate,,,,,,,,,,,,,,,,
torpor,stolid,,,,,,,,,,,,,,,,
sage,stipulate,,,,,,,,,,,,,,,,
shard,oscillate,,,,,,,,,,,,,,,,
strut,stigma,,,,,,,,,,,,,,,,
aberrant,partisan,,,,,,,,,,,,,,,,
complaisant,pathological,,,,,,,,,,,,,,,,
striate,specious,,,,,,,,,,,,,,,,
chicanery,pedantic,,,,,,,,,,,,,,,,
compendium,solicitous,,,,,,,,,,,,,,,,
welter,skeptic,,,,,,,,,,,,,,,,
stint,penchant,,,,,,,,,,,,,,,,
volatile,secrete,,,,,,,,,,,,,,,,
,perfunctory,,,,,,,,,,,,,,,,
,phlegmatic,,,,,,,,,,,,,,,,
,piety,,,,,,,,,,,,,,,,
,satiate,,,,,,,,,,,,,,,,
,onerous,,,,,,,,,,,,,,,,
,abate,,,,,,,,,,,,,,,,
,inconsequential,,,,,,,,,,,,,,,,
,coagulate,,,,,,,,,,,,,,,,
,cogent,,,,,,,,,,,,,,,,
,commensurate,,,,,,,,,,,,,,,,
,compliant,,,,,,,,,,,,,,,,
,conciliatory,,,,,,,,,,,,,,,,
,condone,,,,,,,,,,,,,,,,
,confound,,,,,,,,,,,,,,,,
,contrite,,,,,,,,,,,,,,,,
,conundrum,,,,,,,,,,,,,,,,
,converge,,,,,,,,,,,,,,,,
,convoluted,,,,,,,,,,,,,,,,
,daunt,,,,,,,,,,,,,,,,
,decorum,,,,,,,,,,,,,,,,
,caustic,,,,,,,,,,,,,,,,
,delineate,,,,,,,,,,,,,,,,
,deride,,,,,,,,,,,,,,,,
,derivative,,,,,,,,,,,,,,,,
,desultory,,,,,,,,,,,,,,,,
,deterrent,,,,,,,,,,,,,,,,
,diatribe,,,,,,,,,,,,,,,,
,dichotomy,,,,,,,,,,,,,,,,
,diffidence,,,,,,,,,,,,,,,,
,diffuse,,,,,,,,,,,,,,,,
,disabuse,,,,,,,,,,,,,,,,
,discerning,,,,,,,,,,,,,,,,
,discredit,,,,,,,,,,,,,,,,
,discrepancy,,,,,,,,,,,,,,,,
,discrete,,,,,,,,,,,,,,,,
,denigrate,,,,,,,,,,,,,,,,
,castigation,,,,,,,,,,,,,,,,
,buttress,,,,,,,,,,,,,,,,
,burnish,,,,,,,,,,,,,,,,
,abscond,,,,,,,,,,,,,,,,
,abstemious,,,,,,,,,,,,,,,,
,admonish,,,,,,,,,,,,,,,,
,adulterate,,,,,,,,,,,,,,,,
,aesthetic,,,,,,,,,,,,,,,,
,alleviate,,,,,,,,,,,,,,,,
,ambivalence,,,,,,,,,,,,,,,,
,ameliorate,,,,,,,,,,,,,,,,
,analogous,,,,,,,,,,,,,,,,
,anarchy,,,,,,,,,,,,,,,,
,anomalous,,,,,,,,,,,,,,,,
,antipathy,,,,,,,,,,,,,,,,
,apathy,,,,,,,,,,,,,,,,
,appease,,,,,,,,,,,,,,,,
,apprise,,,,,,,,,,,,,,,,
,appropriate,,,,,,,,,,,,,,,,
,arduous,,,,,,,,,,,,,,,,
,artless,,,,,,,,,,,,,,,,
,ascetic,,,,,,,,,,,,,,,,
,assiduous,,,,,,,,,,,,,,,,
,assuage,,,,,,,,,,,,,,,,
,attenuate,,,,,,,,,,,,,,,,
,audacious,,,,,,,,,,,,,,,,
,austere,,,,,,,,,,,,,,,,
,banal,,,,,,,,,,,,,,,,
,beneficent,,,,,,,,,,,,,,,,
,bolster,,,,,,,,,,,,,,,,
,bombastic,,,,,,,,,,,,,,,,
,boorish,,,,,,,,,,,,,,,,
,disingenuous,,,,,,,,,,,,,,,,
,disinterested,,,,,,,,,,,,,,,,
,zealot,,,,,,,,,,,,,,,,
,facetious,,,,,,,,,,,,,,,,
,guileless,,,,,,,,,,,,,,,,
,impair,,,,,,,,,,,,,,,,
,erudite,,,,,,,,,,,,,,,,
,esoteric,,,,,,,,,,,,,,,,
,exacerbate,,,,,,,,,,,,,,,,
,exculpate,,,,,,,,,,,,,,,,
,immutable,,,,,,,,,,,,,,,,
,disjointed,,,,,,,,,,,,,,,,
,iconoclastic,,,,,,,,,,,,,,,,
,facilitate,,,,,,,,,,,,,,,,
,fallacious,,,,,,,,,,,,,,,,
,homogeneous,,,,,,,,,,,,,,,,
,fawning,,,,,,,,,,,,,,,,
,felicitous,,,,,,,,,,,,,,,,
,fervor,,,,,,,,,,,,,,,,
,fledgling,,,,,,,,,,,,,,,,
,harangue,,,,,,,,,,,,,,,,
,flout,,,,,,,,,,,,,,,,
,foment,,,,,,,,,,,,,,,,
,forestall,,,,,,,,,,,,,,,,
,frugality,,,,,,,,,,,,,,,,
,futile,,,,,,,,,,,,,,,,
,gainsay,,,,,,,,,,,,,,,,
,garrulous,,,,,,,,,,,,,,,,
,goad,,,,,,,,,,,,,,,,
,grandiloquent,,,,,,,,,,,,,,,,
,gregarious,,,,,,,,,,,,,,,,
,equivocate,,,,,,,,,,,,,,,,
,impede,,,,,,,,,,,,,,,,
,gullible,,,,,,,,,,,,,,,,
,engender,,,,,,,,,,,,,,,,
,dismiss,,,,,,,,,,,,,,,,
,disparage,,,,,,,,,,,,,,,,
,incongruity,,,,,,,,,,,,,,,,
,whimsical,,,,,,,,,,,,,,,,
,dissemble,,,,,,,,,,,,,,,,
,distend,,,,,,,,,,,,,,,,
,diverge,,,,,,,,,,,,,,,,
,imperturbable,,,,,,,,,,,,,,,,
,enhance,,,,,,,,,,,,,,,,
,dupe,,,,,,,,,,,,,,,,
,ebullient,,,,,,,,,,,,,,,,
,document,,,,,,,,,,,,,,,,
,eclectic,,,,,,,,,,,,,,,,
