0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
wary,,,,,,,,,,,,,,,
volatile,,,,,,,,,,,,,,,
vituperative,,,,,,,,,,,,,,,
viscous,,,,,,,,,,,,,,,
viable,,,,,,,,,,,,,,,
verbose,,,,,,,,,,,,,,,
sanction,,,,,,,,,,,,,,,
venerate,,,,,,,,,,,,,,,
unwarranted,,,,,,,,,,,,,,,
truculence,,,,,,,,,,,,,,,
transgression,,,,,,,,,,,,,,,
tractable,,,,,,,,,,,,,,,
torpor,,,,,,,,,,,,,,,
tangential,,,,,,,,,,,,,,,
supposition,,,,,,,,,,,,,,,
vacillate,,,,,,,,,,,,,,,
plummet,,,,,,,,,,,,,,,
salubrious,,,,,,,,,,,,,,,
reverent,,,,,,,,,,,,,,,
propitiate,,,,,,,,,,,,,,,
propensity,,,,,,,,,,,,,,,
proliferate,,,,,,,,,,,,,,,
prohibitive,,,,,,,,,,,,,,,
profound,,,,,,,,,,,,,,,
prodigal,,,,,,,,,,,,,,,
problematic,,,,,,,,,,,,,,,
probity,,,,,,,,,,,,,,,
pristine,,,,,,,,,,,,,,,
prevaricate,,,,,,,,,,,,,,,
presumptuous,,,,,,,,,,,,,,,
precursor,,,,,,,,,,,,,,,
precipitate,,,,,,,,,,,,,,,
preamble,,,,,,,,,,,,,,,
pragmatic,,,,,,,,,,,,,,,
propriety,,,,,,,,,,,,,,,
proscribe,,,,,,,,,,,,,,,
pungent,,,,,,,,,,,,,,,
qualified,,,,,,,,,,,,,,,
reticent,,,,,,,,,,,,,,,
resolve,,,,,,,,,,,,,,,
resolution,,,,,,,,,,,,,,,
rescind,,,,,,,,,,,,,,,
repudiate,,,,,,,,,,,,,,,
reprobate,,,,,,,,,,,,,,,
reproach,,,,,,,,,,,,,,,
sage,,,,,,,,,,,,,,,
relegate,,,,,,,,,,,,,,,
recondite,,,,,,,,,,,,,,,
recluse,,,,,,,,,,,,,,,
recant,,,,,,,,,,,,,,,
recalcitrant,,,,,,,,,,,,,,,
rarefied,,,,,,,,,,,,,,,
quiescent,,,,,,,,,,,,,,,
quibble,,,,,,,,,,,,,,,
refractory,,,,,,,,,,,,,,,
iconoclastic,,,,,,,,,,,,,,,
implacable,,,,,,,,,,,,,,,
homogeneous,,,,,,,,,,,,,,,
contention,,,,,,,,,,,,,,,
connoisseur,,,,,,,,,,,,,,,
confound,,,,,,,,,,,,,,,
condone,,,,,,,,,,,,,,,
conciliatory,,,,,,,,,,,,,,,
compliant,,,,,,,,,,,,,,,
complaisant,,,,,,,,,,,,,,,
compendium,,,,,,,,,,,,,,,
commensurate,,,,,,,,,,,,,,,
cogent,,,,,,,,,,,,,,,
coda,,,,,,,,,,,,,,,
coagulate,,,,,,,,,,,,,,,
chicanery,,,,,,,,,,,,,,,
caustic,,,,,,,,,,,,,,,
catalyst,,,,,,,,,,,,,,,
contentious,,,,,,,,,,,,,,,
contrite,,,,,,,,,,,,,,,
conundrum,,,,,,,,,,,,,,,
convoluted,,,,,,,,,,,,,,,
dirge,,,,,,,,,,,,,,,
digression,,,,,,,,,,,,,,,
diffuse,,,,,,,,,,,,,,,
diffidence,,,,,,,,,,,,,,,
dichotomy,,,,,,,,,,,,,,,
hyperbole,,,,,,,,,,,,,,,
deterrent,,,,,,,,,,,,,,,
castigation,,,,,,,,,,,,,,,
desultory,,,,,,,,,,,,,,,
deride,,,,,,,,,,,,,,,
delineate,,,,,,,,,,,,,,,
deference,,,,,,,,,,,,,,,
default,,,,,,,,,,,,,,,
decorum,,,,,,,,,,,,,,,
daunt,,,,,,,,,,,,,,,
craven,,,,,,,,,,,,,,,
derivative,,,,,,,,,,,,,,,
disabuse,,,,,,,,,,,,,,,
capricious,,,,,,,,,,,,,,,
buttress,,,,,,,,,,,,,,,
anarchy,,,,,,,,,,,,,,,
analogous,,,,,,,,,,,,,,,
anachronism,,,,,,,,,,,,,,,
ambivalence,,,,,,,,,,,,,,,
ambiguous,,,,,,,,,,,,,,,
amalgamate,,,,,,,,,,,,,,,
alacrity,,,,,,,,,,,,,,,
aggregate,,,,,,,,,,,,,,,
aesthetic,,,,,,,,,,,,,,,
adulterate,,,,,,,,,,,,,,,
admonish,,,,,,,,,,,,,,,
abstemious,,,,,,,,,,,,,,,
abscond,,,,,,,,,,,,,,,
abeyance,,,,,,,,,,,,,,,
aberrant,,,,,,,,,,,,,,,
anomalous,,,,,,,,,,,,,,,
antipathy,,,,,,,,,,,,,,,
apathy,,,,,,,,,,,,,,,
apprise,,,,,,,,,,,,,,,
burnish,,,,,,,,,,,,,,,
burgeon,,,,,,,,,,,,,,,
boorish,,,,,,,,,,,,,,,
bombastic,,,,,,,,,,,,,,,
beneficent,,,,,,,,,,,,,,,
belie,,,,,,,,,,,,,,,
aver,,,,,,,,,,,,,,,
cacophonous,,,,,,,,,,,,,,,
autonomous,,,,,,,,,,,,,,,
audacious,,,,,,,,,,,,,,,
attenuate,,,,,,,,,,,,,,,
assiduous,,,,,,,,,,,,,,,
ascetic,,,,,,,,,,,,,,,
artless,,,,,,,,,,,,,,,
appropriate,,,,,,,,,,,,,,,
approbation,,,,,,,,,,,,,,,
austere,,,,,,,,,,,,,,,
discerning,,,,,,,,,,,,,,,
zealot,,,,,,,,,,,,,,,
discredit,,,,,,,,,,,,,,,
facetious,,,,,,,,,,,,,,,
extrapolation,,,,,,,,,,,,,,,
exigency,,,,,,,,,,,,,,,
exculpate,,,,,,,,,,,,,,,
euphemism,,,,,,,,,,,,,,,
discordant,,,,,,,,,,,,,,,
fatuous,,,,,,,,,,,,,,,
esoteric,,,,,,,,,,,,,,,
equivocate,,,,,,,,,,,,,,,
equanimity,,,,,,,,,,,,,,,
ephemeral,,,,,,,,,,,,,,,
engender,,,,,,,,,,,,,,,
endemic,,,,,,,,,,,,,,,
emulate,,,,,,,,,,,,,,,
erudite,,,,,,,,,,,,,,,
empirical,,,,,,,,,,,,,,,
fawning,,,,,,,,,,,,,,,
fervor,,,,,,,,,,,,,,,
gullible,,,,,,,,,,,,,,,
guileless,,,,,,,,,,,,,,,
gregarious,,,,,,,,,,,,,,,
grandiloquent,,,,,,,,,,,,,,,
gouge,,,,,,,,,,,,,,,
goad,,,,,,,,,,,,,,,
felicitous,,,,,,,,,,,,,,,
gainsay,,,,,,,,,,,,,,,
frugality,,,,,,,,,,,,,,,
forestall,,,,,,,,,,,,,,,
foment,,,,,,,,,,,,,,,
flout,,,,,,,,,,,,,,,
fledgling,,,,,,,,,,,,,,,
flag,,,,,,,,,,,,,,,
futile,,,,,,,,,,,,,,,
embellish,,,,,,,,,,,,,,,
eulogy,,,,,,,,,,,,,,,
elegy,,,,,,,,,,,,,,,
disinterested,,,,,,,,,,,,,,,
distend,,,,,,,,,,,,,,,
divest,,,,,,,,,,,,,,,
document,,,,,,,,,,,,,,,
dissonance,,,,,,,,,,,,,,,
elicit,,,,,,,,,,,,,,,
dissolution,,,,,,,,,,,,,,,
disseminate,,,,,,,,,,,,,,,
discrete,,,,,,,,,,,,,,,
dissemble,,,,,,,,,,,,,,,
disingenuous,,,,,,,,,,,,,,,
dogmatic,,,,,,,,,,,,,,,
dormant,,,,,,,,,,,,,,,
dupe,,,,,,,,,,,,,,,
ebullient,,,,,,,,,,,,,,,
dismiss,,,,,,,,,,,,,,,
discrepancy,,,,,,,,,,,,,,,
eclectic,,,,,,,,,,,,,,,
efficacy,,,,,,,,,,,,,,,
effrontery,,,,,,,,,,,,,,,
disjointed,,,,,,,,,,,,,,,
disparate,,,,,,,,,,,,,,,
distill,,,,,,,,,,,,,,,
